Run time,Result for non chunking,Result for equal chunking,Result for manual chunking overlap,Result for LangChain,Result for LangChain overlap,Answer,,,,,,,,,,,,,,,,,Result for LangChain
Run 1,"Yes, there is a presentation component in the assessments of INFO3019 - Project Management. 

According to the documentation, INFO3019 has a ""Project Presentation"" assessment component that:
- Is worth 20% of the total assessment
- Is an individual assessment
- Is mandatory
- Is scored out of 20
- Has a standard grade scale
- Relates to learning outcomes SLO1 through SLO7

The presentation is explicitly listed as one of the assessment components in the subject's documentation, with the title ""Project Presentation"" and a weight of 20%","I don't have the answer.

The provided documentation describes the INFO3019 - Project Management subject but does not explicitly state whether students need to give a presentation in this subject. While the documentation mentions that students will ""develop practical skills to work as assistant project managers or project team members"" and ""hands-on experience using industry-standard project management tools,"" it does not specifically mention presentation requirements. 

The section that mentions ""Present a project and its results to an audience in an oral presentation"" appears to be from a different subject (likely a Data Science subject), not the Project Management subject described in this documentation. Therefore, the documentation does not provide clear information about whether a presentation is required for the Project Management subject.","I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.","I don't have the answer.

The documentation provided describes INFO3019 - Project Management, including its overview, learning outcomes, prerequisites, and offerings. While it mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as one of the learning outcomes (point 6), it does not specifically state what assessment components are used for this subject. The documentation does not explicitly mention whether presentations are part of the assessment requirements.","Based on the provided documentation, I can see that in the learning outcomes section, point 6 states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is part of the assessment requirements for INFO3019 - Project Management.

Therefore, yes, there is a presentation component in assessments of INFO3019 - Project Management.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"The question asks whether students need to give a presentation in Project Management based on the provided documentation.

The documentation explicitly states in the learning outcomes that upon completion of the subject, graduates will be able to: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a key skill students must develop and demonstrate as part of the course requirements.

While the documentation does not use the exact phrase ""give a presentation,"" the context of ""present comprehensive project plans and reports"" aligns with the need for students to deliver presentations (e.g., oral or written presentations) as part of the course activities. In academic and project management contexts, ""present"" typically implies delivering a presentation, and the learning outcome clearly ties this to the course's expectations.

Therefore, based on the provided documentation, students do need to give presentations (in the form of presenting project plans and reports) as part of the course requirements.

\boxed{yes}"
Run 2,"Yes, there is a presentation component in the assessments of INFO3019 - Project Management. 

According to the documentation, INFO3019 has a ""Project Presentation"" assessment component that:
- Is worth 20% of the total assessment
- Is an individual assessment
- Is mandatory
- Is scored out of 20
- Has a standard grade scale
- Relates to learning outcomes SLO1 through SLO7

The presentation is explicitly listed as one of the assessment components in the subject's documentation, with the title ""Project Presentation"" and a weight of 20%","Based on the provided documentation for Project Management (INFO3019), the learning outcome explicitly states: **""Utilize project management tools and techniques to develop and present comprehensive project plans and reports.""** This indicates that students are required to create and deliver presentations of their project work as part of the course requirements.

While the documentation does not specify the exact format (e.g., oral vs. written), in academic contexts, the term ""present"" typically implies an oral presentation when referring to student deliverables. Project management education often emphasizes oral communication skills for stakeholder engagement, team collaboration, and real-world application—aligning with the expectation that students will present their work in a spoken format.

Therefore, **yes, you need to give a presentation in Project Management (INFO3019)**. This is directly supported by the course's learning outcomes. 

**Note**: If the context specifically refers to *written* presentations (e.g., reports), the documentation still confirms that presentations are required, though the format may vary. The key takeaway is that presenting project work is a mandatory component of the course.","I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.",I don't have the answer.,"I don't have the answer. 

The documentation provided describes INFO3019 - Project Management subject details, including its overview, learning outcomes, requisites, and offerings. While it mentions ""develop and present comprehensive project plans and reports"" as part of learning outcome 6, and references team-based work, the documentation does not explicitly state whether presentations are a formal assessment component for this subject. The documentation does not provide specific information about assessment components beyond what's mentioned in the learning outcomes.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"Based on the provided documentation for INFO3019 - Project Management, I can see that Learning Outcome 6 states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports.""

This indicates that presenting project plans and reports is a required component of the subject. The documentation specifically mentions that students will ""develop and present comprehensive project plans and reports"" as part of their learning outcomes.

Therefore, yes, you need to give a presentation in Project Management as part of this subject's requirements."
Run 3,"After carefully reviewing the documentation for INFO3019 - Project Management (2026 version), I can see that the assessments section only lists one component:

```
Practical

Weighting (%):100
Individual or Group:Individual
Mandatory:Yes
Type:Threshold
Percentage:40
Score (Marked out of):100
Grade scale:Standard
Learning Outcomes:SLO1, SLO2, SLO3, SLO4, SLO5, SLO6, SLO7
```

The documentation shows that INFO3019 has a single assessment component called ""Practical"" that accounts for 100% of the grade. There is no mention of any presentation component in the assessments section.

Therefore, the answer is no - there is no presentation component in assessments of INFO3019 - Project Management.",I don't have the answer.,"I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.","I don't have the answer.

The documentation provided describes INFO3019 - Project Management, including its overview, learning outcomes, prerequisites, and offerings. While it mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as one of the learning outcomes (point 6), it does not specifically state what assessment components are used for this subject. The documentation does not explicitly mention whether presentations are part of the assessment requirements.","Based on the provided documentation, I can see that in the learning outcomes section, point 6 states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is part of the assessment requirements for INFO3019 - Project Management.

Therefore, yes, there is a presentation component in assessments of INFO3019 - Project Management.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"Based on the provided documentation for INFO3019 - Project Management, the Learning Outcomes section explicitly states: ""6. Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that developing and presenting project plans and reports is a required skill for students in this course. Therefore, students do need to present project plans and reports as part of the course requirements.

The answer is: **yes**."
Run 4,"After carefully reviewing the provided documentation, I can see that the assessments for INFO3019 (Project Management) are listed as follows:

- Practical (30%)
- Case Study (20%)
- Final Exam (50%)

There is no mention of a ""presentation"" component in any of these assessment items. The documentation clearly specifies only three assessment components with their respective weights and types (individual/group), but none of them are described as a presentation.

Therefore, the answer to the question ""Is there a presentation component in assessments of INFO3019 - Project Management?"" is **no**.",I don't have the answer.,"I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.",I don't have the answer.,I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"Yes, you need to give a presentation in Project Management. The documentation states in Learning Outcome 6: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a requirement of the subject."
Run 5,"Yes, there is a presentation component in the assessments of INFO3019 - Project Management. 

According to the documentation, INFO3019 has a ""Project Presentation"" assessment component that:
- Is worth 20% of the total assessment
- Is an individual assessment
- Is mandatory
- Is scored out of 20
- Has a standard grade scale
- Relates to learning outcomes SLO1 through SLO7

The presentation is explicitly listed as one of the assessment components in the subject's documentation, with the title ""Project Presentation"" and a weight of 20%.","Based on the provided documentation for INFO3019 - Project Management (2026 version), I can see that students are required to present project work. Specifically, in the learning outcomes section, point 6 states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports.""

This clearly indicates that presenting comprehensive project plans and reports is part of the requirements for this subject.

Therefore, yes, you need to give a presentation in Project Management according to the documentation.","I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.",I don't have the answer.,"I don't have the answer.

The documentation provided includes learning outcomes that state ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" (point 6), but it does not explicitly list the assessment components for this subject. While the phrase ""develop and present"" suggests presentation skills are part of the course, the documentation does not specifically state whether presentations constitute an assessment component. The question asks for information about assessments, but the documentation doesn't provide a clear list of assessment components.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"Yes, based on the documentation. The subject description states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as part of Learning Outcome 6. This indicates that students are required to present project plans and reports as part of this project management subject."
Run 6,"After carefully reviewing the provided document, I can see that the assessments section for INFO3019 - Project Management lists only one assessment component:

```
Practical

Weighting:Weighting %
Weighting (%):100
Individual or Group:Individual
Mandatory:Yes
Type:Mandatory
Score (Marked out of):100
Grade scale:Standard
Learning Outcomes:SLO1, SLO2, SLO3, SLO4, SLO5, SLO6, SLO7, SLO8
```

This shows that INFO3019 - Project Management has only a Practical assessment component worth 100% of the grade. There is no mention of a presentation component in the assessments section.

Therefore, the answer to the question ""Does INFO3019 - Project Management have a presentation component in its assessments?"" is: No.",I don't have the answer.,"I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.",I don't have the answer.,I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"Yes, based on the documentation, students need to present comprehensive project plans and reports as part of the course requirements. This is explicitly stated in Learning Outcome 6: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."""
Run 7,"Based on the provided text, the course ""INFO3019 - Project Management"" has an ""Assessments"" section that lists only a single component: **Practical** with a weighting of 100%. There is no mention of a ""presentation"" component in the text. The assessment details explicitly state:

```
Assessments
Collapse all
Practical

Weighting: Weighting %
Weighting (%): 100
Individual or Group: Individual
Mandatory: No
Score (Marked out of): 100
Grade scale: Standard
Learning Outcomes: SLO1, SLO2, SLO3, SLO4, SLO5, SLO6, SLO7
```

This indicates that the assessment for this course is entirely practical in nature, with no reference to presentations or other deliverables such as oral presentations, reports, or demonstrations. Therefore, the course does not include a presentation component.

\boxed{No}",I don't have the answer.,,I don't have the answer.,I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"Yes, according to the documentation, you need to give presentations in Project Management (INFO3019). The learning outcomes specifically state: ""6. Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This is part of the required skills for this subject."
Run 8,"After carefully reviewing the documentation provided, I can see that the subject ""INFO3019 - Project Management"" has the following assessments:

- **Practical**: 20% weight, Individual, Mandatory: No, Score: 20, Learning Outcomes: SLO1-SLO7

The documentation does not explicitly mention any presentation component in the assessments for INFO3019 - Project Management. While the documentation shows other subjects (like COMP3035 - Database Design and Development) that have presentation components, the specific assessments for INFO3019 - Project Management only include a practical component with no reference to a presentation.

Therefore, based on the provided documentation, **there is no presentation component** in the assessments of INFO3019 - Project Management.

**Final Answer: No**","The question asks whether a student needs to give a presentation in Project Management (INFO3019). The documentation states in the learning outcomes section: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a requirement for the course.

In academic contexts, the term ""present"" typically refers to giving an oral presentation, not merely writing a report. The documentation does not explicitly specify whether the presentation is oral or written, but the standard interpretation in educational settings is that ""present"" implies an oral presentation to an audience. Additionally, the documentation does not indicate that the requirement is limited to written reports only.

While the documentation mentions that students need to ""present comprehensive project plans and reports,"" it does not provide details about the format (e.g., oral or written) for this presentation. However, the context of academic courses and the phrasing ""present"" strongly suggest that an oral presentation is expected as part of the course requirements.

Given that the documentation explicitly states that students must ""present"" project plans and reports, and considering the typical academic interpretation of ""present,"" the answer to the question is yes.

\boxed{yes}","I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.",I don't have the answer.,"I don't have the answer.

The provided documentation describes INFO3019 - Project Management as a subject that includes learning outcomes such as ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" (learning outcome #6), but it doesn't explicitly state what assessment components are used for this subject. The documentation mentions that students work in teams and develop practical skills, but it doesn't specify whether presentations are part of the assessment requirements. The documentation doesn't include a dedicated section listing assessment components, so I cannot determine if there is a presentation component in the assessments.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,I don't have the answer.
Run 9,"After carefully reviewing the documentation for INFO3019 - Project Management, I can see that the ""Assessments"" section lists only a ""Practical"" component with 10% weighting. There is no mention of a presentation component in the assessments for this course.

The document shows:
- Practical (10% weighting)
- No other assessment components are listed

The question specifically asks about whether there is a presentation component in the assessments for INFO3019 - Project Management. Based on the documentation provided, the answer is no.

So, the answer is: No, there is no presentation component in the assessments for INFO3019 - Project Management.",I don't have the answer.,"I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.",I don't have the answer.,I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"Yes, according to the documentation, you need to give a presentation in Project Management (INFO3019). 

The learning outcome #6 specifically states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a required component of the subject.

The subject also mentions that students ""develop practical skills to work as assistant project managers or project team members"" while working in teams under staff supervision, which further supports that presentations would be part of the hands-on experience required for this subject."
Run 10,"After carefully reviewing the provided documentation for INFO3019 - Project Management, I can see that the subject has the following assessments:

- Practical (20%)
- Final Exam (60%)
- Project Report (20%)

There is no presentation component listed in the assessments for INFO3019 - Project Management. The documentation clearly shows these three assessment components with their respective weights, but no presentation component is mentioned.

To be absolutely precise, I checked the ""Assessments"" section of the INFO3019 subject page multiple times and confirmed that presentations are not listed as an assessment component for this subject.

Therefore, the answer is no - there is no presentation component in the assessments of INFO3019 - Project Management.","Yes, you need to give a presentation in Project Management. 

The documentation states: ""6. Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This is one of the learning outcomes for the INFO3019 - Project Management subject. The requirement to ""present comprehensive project plans and reports"" indicates that presentations are part of the assessment requirements for this subject.","I don't have the answer.

The documentation provided describes the assessments for INFO3019 - Project Management as including:
- Practical (40%)
- Case Study (20%)
- Proposal (40%)

While the subject description mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as a learning outcome, the documentation does not explicitly state that there is a presentation component as a specific assessment type. The assessments listed are clearly defined as Practical, Case Study, and Proposal, with no mention of a presentation component as a separate assessment item.",I don't have the answer.,"The provided documentation does not explicitly list the assessment components for INFO3019 - Project Management. While it states that students will be able to ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as part of the learning outcomes, it does not explicitly confirm that this is a presentation component within the assessments. Learning outcomes typically inform assessment design, but the documentation does not directly state what constitutes the assessment components. Therefore, based strictly on the provided documentation, the answer is not explicitly stated.

I don't have the answer.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,"Based on the provided documentation for INFO3019 - Project Management (2026 version), I can see that learning outcome #6 states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports.""

This indicates that presenting project plans and reports is part of the subject requirements. The documentation does not explicitly mention a separate presentation requirement beyond this learning outcome, but it clearly states that students need to develop and present comprehensive project plans and reports as part of their learning.

Therefore, yes, you need to give a presentation in Project Management (specifically, presenting comprehensive project plans and reports) as part of the subject requirements."
