Run 1,I don't have the answer.
Run 2,"I don't have the answer.

The documentation only shows Autumn semester offerings for MATH1014 (Mathematics 1A) with three different locations (Campbelltown, Penrith (Kingswood), and Parramatta South). There is no information about Spring semester offerings in the provided documentation. Without knowing which subjects are offered in Spring semester, I cannot determine which subjects are offered in only one semester (Autumn or Spring)."
Run 3,I don't have the answer.
Run 4,"I don't have the answer.

The provided documentation only shows Autumn semester offerings for MATH1014 (Mathematics 1A) with three different locations (Campbelltown, Penrith (Kingswood), and Parramatta South). However, the documentation does not provide any information about Spring semester offerings for this subject or any other subjects. 

Since the documentation doesn't contain information about which subjects are offered in Spring semester, I cannot determine which subjects are offered in only one semester (Autumn or Spring). The question requires information about Spring semester offerings that isn't present in the provided documentation."
Run 5,"I don't have the answer.

The documentation provided shows that MATH1014 has Autumn semester offerings (with three specific locations: Campbelltown, Penrith (Kingswood), and Parramatta South), but it does not mention any Spring semester offerings. However, the documentation doesn't explicitly state that MATH1014 is not offered in Spring - it simply doesn't show Spring offerings. The question asks for subjects that are offered in only one semester (Autumn or Spring), but the documentation doesn't provide complete information about all semesters for this subject or other subjects. Since the documentation only shows Autumn offerings and doesn't mention Spring offerings, I cannot definitively say which subjects are offered in only one semester. The documentation is incomplete for answering this specific question."
Run 6,"I don't have the answer.

The documentation provided shows information about MATH1014 - Mathematics 1A for the 2026 academic year, specifically listing Autumn offerings (MATH1014-AUT-3-CA, MATH1014-AUT-3-KW, MATH1014-AUT-3-PS). However, it does not provide any information about Spring offerings or other subjects that might be offered in only one semester. The documentation only shows Autumn offerings without indicating whether any subjects are offered exclusively in Autumn or Spring, or which subjects might be offered in only one semester."
Run 7,"I don't have the answer.

The provided documentation only shows Autumn semester offerings for MATH1014 (Mathematics 1A) with three different locations (Campbelltown, Penrith, Parramatta South). There is no information about Spring semester offerings in the documentation, so I cannot determine which subjects are offered in only one semester (Autumn or Spring). The documentation doesn't provide details about Spring semester offerings at all."
Run 8,"Based on the provided documentation, the only subject explicitly listed with offerings is MATH1014, which is specified under ""Offerings: Autumn"" with three locations (not detailed further). The documentation does not mention any Spring offerings for MATH1014 or any other subjects. 

The question asks for subjects offered in only one semester (Autumn or Spring). Since the documentation shows MATH1014 is offered in Autumn but provides no evidence of Spring offerings, it is considered offered in only one semester (Autumn). No other subjects are explicitly listed with offerings in the documentation, so MATH1014 is the only subject that meets the criteria.

**Answer: MATH1014**"
Run 9,"I don't have the answer. The provided documentation only shows that MATH1014 (Mathematics 1A) is offered in Autumn (with specific locations listed under ""Offerings""). It does not provide any information about Spring semester offerings for this subject or any other subjects. The question asks for subjects offered in ""only one semester (Autumn or Spring),"" but the documentation lacks details about Spring semester offerings, so it is impossible to determine which subjects meet this criterion based solely on the provided information."
Run 10,I don't have the answer.
Run 11,"I don't have the answer.

The provided documentation only shows information about MATH1014 (Mathematics 1A) and lists Autumn offerings with three different locations (Campbelltown, Penrith, Parramatta South). There is no information about Spring offerings for any subject in this documentation, and the document doesn't provide a complete list of all subjects offered at Western Sydney University. Without information about which subjects are offered in Spring semester and which ones are offered in only one semester, I cannot determine which subjects are offered in only one semester (Autumn or Spring)."
Run 12,"I don't have the answer.

The provided documentation shows that MATH1014 has Autumn offerings (with locations: Campbelltown, Penrith (Kingswood), Parramatta South), but it doesn't mention any Spring offerings for this subject or any other subjects. The documentation doesn't provide information about which subjects are offered in only one semester (Autumn or Spring), as it only shows Autumn offerings and no information about Spring offerings for any subjects."
Run 13,I don't have the answer.
Run 14,I don't have the answer.
Run 15,"I don't have the answer.

The documentation only shows Autumn semester offerings for MATH1014 (with three different locations: Campbelltown, Penrith (Kingswood), and Parramatta South). There is no information about Spring semester offerings for any subjects in the provided documentation. The question asks which subjects are offered in only one semester (Autumn or Spring), but the documentation doesn't provide complete information about Spring semester offerings for any subjects."
Run 16,I don't have the answer.
Run 17,"I don't have the answer.

The documentation only shows information about MATH1014 - Mathematics 1A with Autumn semester offerings (MATH1014-AUT-3-CA, MATH1014-AUT-3-KW, MATH1014-AUT-3-PS). There is no information about Spring semester offerings for this subject or any other subjects in the provided documentation. The documentation does not provide a comprehensive list of all subjects and their semester offerings, so I cannot determine which subjects are offered in only one semester (Autumn or Spring)."
