Run time,Result for non chunking,Result for equal chunking,Result for manual chunking overlap,Result for LangChain,Result for LangChain overlap,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Result for LangChain overlap,Result for LangChain overlap,Result for LangChain overlap
Run 1,"Based on the documentation provided, I can see that the Project Management subject (INFO3019) has assessments listed as:
- Practical (20%)
- Final Exam (50%)

There is no specific mention of a ""presentation"" assessment requirement in the documentation for this subject. The documentation shows that for the Project Management subject (INFO3019), the assessments are clearly stated as Practical and Final Exam, with no reference to presentations.

While there is another subject in the documentation (the ""Discovery"" subject) that includes presentations as part of its assessments (10% and 25%), this is not the Project Management subject.

Therefore, the answer to the question ""Do I need to give a presentation in Project Management?"" is: **No**, based on the documentation provided, there's no mention of a presentation requirement for the Project Management subject (INFO3019).",I don't have the answer.,"I don't have the answer. 

The provided documentation describes INFO3019 - Project Management as a subject with specific learning outcomes and assessments, but it does not explicitly state whether students need to give a presentation as part of the requirements. The documentation mentions ""present comprehensive project plans and reports"" as part of learning outcome SLO6 (""Utilize project management tools and techniques to develop and present comprehensive project plans and reports""), but this is a learning outcome rather than a specific assessment requirement that requires a formal presentation. The assessments listed are Practical (40%), Case Study (20%), and Proposal (40%), but none of these are explicitly described as presentations.","Yes. The documentation states that students need to ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as part of learning outcome 6. This indicates that presenting project plans and reports is a requirement of the subject.","I don't have the answer.

The documentation shows that the Project Management subject (INFO3019) has a learning outcome that states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is required as part of the subject.

However, the documentation doesn't explicitly state whether this involves giving an oral presentation (as in a separate presentation to an audience) or just presenting written reports. The documentation mentions ""present"" in the context of developing and presenting project plans and reports, but doesn't specify if this is an oral presentation requirement.

Since the prompt asks specifically about ""Do I need to give a presentation"" (meaning an oral presentation), and the documentation doesn't clearly state whether this requires an oral presentation or just written reporting, I cannot give a definitive answer based solely on the provided documentation.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, based on the documentation, you need to give a presentation as part of developing and presenting comprehensive project plans and reports. The documentation specifically states in the Learning Outcomes section: ""6. Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a requirement for this Project Management course (INFO3019).",I don't have the answer.,"I don't have the answer.

The documentation shows that there are course offerings for Sydney City Campus (COMP1005 in Term 2 and Term 3), but it doesn't explicitly state which subjects can be taken at the city campus instead of other campuses. The documentation mentions different campus requirements (Greater Noida and Surabaya) but doesn't provide information about specific subjects that are available exclusively at the city campus as alternatives to other campuses."
Run 2,"Based on the provided documentation, I need to check if there's a presentation requirement for the Project Management course (INFO3019).

Looking at the assessments section for INFO3019 (Project Management), I can see:
- Practical (20%)
- Case Study (15%)
- Final Exam (50%)

There is no ""Presentation"" assessment listed in the documentation for the Project Management course (INFO3019). 

The documentation specifically shows three assessment components for this course, but none of them are labeled as a presentation.

Therefore, based on the provided documentation, **no**, you do not need to give a presentation in Project Management (INFO3019).",I don't have the answer.,I don't have the answer.,"I don't have the answer.

The documentation provides information about INFO3019 - Project Management subject, including learning outcomes, prerequisites, and course offerings. While it mentions in learning outcome 6: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports,"" it does not explicitly state whether students need to give formal presentations (as in speaking to an audience) as a requirement of the subject. The documentation describes what the subject covers and learning outcomes but does not specify assessment components or presentation requirements in detail.",I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't have the answer.,"Yes

The documentation states in the Learning Outcomes section: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a required component of the Project Management (INFO3019) subject.",I don't have the answer.
Run 3,"After carefully reviewing the provided documentation for the Project Management subject (INFO3019), I can see that there is no presentation requirement listed in the assessments section.

The Project Management subject (INFO3019) shows only two assessments:
1. Practical (20%)
2. Final Exam (50%)

There is no mention of any presentation requirement in the assessments section. The documentation does not indicate that students need to give a presentation for this subject.

The other subjects listed in the documentation (Database Design and Development and Discovery of Database Design and Development) do have presentation requirements, but those are different subjects.

Therefore, based on the provided documentation, **no**, you do not need to give a presentation in Project Management (INFO3019).","The documentation provided for INFO3019 - Project Management states a specific learning outcome: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This explicitly indicates that students are required to present project plans and reports as part of the subject's requirements. In academic contexts, the verb ""present"" typically refers to giving a presentation to an audience, which aligns with the expectation of a presentation component.

Therefore, based on the provided documentation, students enrolled in this project management subject need to give a presentation.

\boxed{Yes}","I don't have the answer. 

The provided documentation mentions ""present comprehensive project plans and reports"" as part of SLO6 (Utilize project management tools and techniques to develop and present comprehensive project plans and reports), but it does not explicitly state that students need to give a formal presentation as a separate activity. The phrase ""present"" here refers to creating and delivering reports, which may involve presenting, but the documentation does not clarify whether this constitutes a formal presentation requirement or if it is part of other assessments (like the Case Study or Proposal). Without explicit language about ""giving a presentation"" as a distinct activity, I cannot confirm whether this is required. 

The documentation describes assessments (Practical, Case Study, Proposal) but does not specify that any of them involve giving a presentation. Therefore, based solely on the provided information, I do not have a definitive answer to the question.","Yes, the documentation indicates that students will need to ""present comprehensive project plans and reports"" as part of the learning outcomes (Learning Outcome 6). This is explicitly stated in the subject's learning outcomes section: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" Therefore, presentations are required as part of the Project Management subject requirements.",I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't have the answer.,I don't have the answer.,I don't have the answer.
Run 4,"After carefully reviewing the documentation for the Project Management subject (INFO3019), there is no mention of a presentation requirement in the assessments section. The assessments listed are:

- Practical (20%)
- Final Exam (50%)
- Case Study (15%)
- Applied Project (15%)

The documentation does not specify that the ""Applied Project"" assessment involves a presentation. While the ""Applied Project"" component may involve some form of deliverable, the documentation does not explicitly state it is a presentation.

Therefore, based on the provided information, **no**, there is no presentation requirement for the Project Management subject.","Yes, based on the provided documentation for INFO3019 - Project Management (2026 version), students need to give presentations. The documentation specifically states in the learning outcomes that graduates will be able to ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a requirement of the subject.",I don't have the answer.,"I don't have the answer. 

The documentation provided describes INFO3019 - Project Management as a subject but does not explicitly state whether students need to give a presentation as a requirement for this subject. While the learning outcome #6 mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports,"" it doesn't specifically clarify if this involves giving a presentation as a separate assessment requirement. The documentation focuses on the course overview, learning outcomes, and offerings but doesn't detail specific assessment components like presentations.","I don't have the answer. 

The documentation provided describes INFO3019 - Project Management subject details, including learning outcomes, prerequisites, and other information about the subject. While the documentation mentions ""Apply leadership, communication, and stakeholder engagement strategies to manage projects"" as one of the learning outcomes, it does not explicitly state whether students need to give a presentation in this Project Management subject.

The only mention of a presentation requirement in the documentation appears to be for a different subject (the Data Science subject), not for Project Management. The documentation does not contain specific information about presentation requirements for the Project Management subject.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't have the answer.

The documentation provided describes INFO3019 - Project Management as a subject that includes ""hands-on experience using industry-standard project management tools"" and mentions ""develop and present comprehensive project plans and reports"" as part of the learning outcomes. However, it does not explicitly state whether students need to give a presentation as a specific requirement for this subject. The documentation mentions presenting project plans and reports but doesn't clarify if this constitutes a formal presentation requirement that students must complete.",I don't have the answer.,"Based on the provided documentation, the courses with the ""SC"" prefix (specifically **COMP1005-SC2-1-SC** and **COMP1005-SC3-1-SC**) are explicitly labeled as being available at the **Sydney City Campus**. These courses are distinct from those offered at other campuses (e.g., Greater Noida or Surabaya), as the documentation indicates that campus-specific course codes like ""SC"" denote availability only at that particular campus.

The documentation states:
- ""Sydney City Campus - Term 2"" with **COMP1005-SC2-1-SC**
- ""Sydney City Campus - Term 3"" with **COMP1005-SC3-1-SC**

This labeling confirms that these courses are **available at the city campus (Sydney City) and not at other campuses**. The documentation does not list any additional campus-specific courses beyond these two, and it clarifies that elective subjects can be any subject offered by the University (implying electives are not campus-exclusive). 

Therefore, the subjects that can be taken at the city campus (Sydney City) instead of other campuses are:  
**COMP1005-SC2-1-SC** and **COMP1005-SC3-1-SC**."
Run 5,"Based on the documentation provided, I need to check the assessments section for the INFO3019 - Project Management subject to determine if there is a presentation requirement.

After carefully reviewing the documentation:

- The INFO3019 - Project Management subject shows assessments of:
  - ""Practical"" (20%)
  - ""Final Exam"" (50%)

- There is no specific assessment listed for ""Presentation"" or any similar requirement in the Project Management subject.

The documentation does mention presentations for other subjects (like COMP3035 - Database Design and Development), but those are not relevant to the Project Management subject.

Therefore, based on the provided documentation, **no**, you do not need to give a presentation in Project Management (INFO3019). The assessments for this subject are a Practical component (20%) and a Final Exam (50%).",I don't have the answer.,"I don't have the answer. 

The documentation provided describes INFO3019 - Project Management at Western Sydney University, including course details, learning outcomes, and assessments. While the documentation mentions that students will ""utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as one of the learning outcomes (SLO6), it does not explicitly state whether students are required to give a presentation as part of the course assessments. The assessments section lists Practical (40%), Case Study (20%), and Proposal (40%) but doesn't specify that any of these require a presentation component.","The documentation explicitly states in learning outcome 6: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that students are required to present their work, which in academic and project management contexts typically involves giving a presentation (e.g., an oral presentation). The phrase ""present comprehensive project plans and reports"" directly addresses the need for students to deliver their work in a presentation format as part of the course requirements.

Therefore, based solely on the provided documentation, the answer to ""Do I need to give a presentation in Project Management?"" is yes.

\boxed{yes}",I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't have the answer.,"Yes. According to the documentation, the subject INFO3019 - Project Management requires students to ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is part of the course requirements.",I don't have the answer.
Run 6,"Based on the documentation provided for Project Management (INFO3019), there is no presentation requirement listed as an assessment component. The assessments for this subject are:

1. Case Study (15%)
2. Applied Project (15%)
3. Practical (20%)
4. Final Exam (50%)

None of these assessment components include a presentation. Therefore, **no**, you do not need to give a presentation in Project Management (INFO3019) based on the provided documentation.","Yes, you need to give a presentation in Project Management. Specifically, the course requirements include **presenting comprehensive project plans and reports** as part of the learning outcomes. This is explicitly stated in the sixth learning outcome: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" 

This presentation component is part of the practical skills development for the subject, which focuses on project initiation, planning, execution, closing, monitoring, and control in real-world contexts. The requirement ensures students can effectively communicate project plans and results to stakeholders, aligning with the course's emphasis on practical application and team-based work.

*Note: The documentation does not mention an oral presentation to an audience specifically (e.g., like ""7. Present a project and its results to an audience in an oral presentation"" in the Data Science section), but ""presenting comprehensive project plans and reports"" in this context refers to creating and delivering presentations as part of the academic deliverables.*","I don't have the answer. 

The documentation describes INFO3019 - Project Management subject and includes information about assessments (Practical, Case Study, Proposal) and learning outcomes. While it mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as part of the learning outcomes (SLO6), it does not explicitly state whether students need to give a presentation as a specific requirement in this subject. The documentation doesn't provide clear information about presentation requirements.","Yes, according to the documentation, you need to present comprehensive project plans and reports as part of the subject requirements. The documentation specifically states in the Learning Outcomes section: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a required component of the INFO3019 - Project Management subject.",I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't have the answer. 

The provided documentation for INFO3019 - Project Management (2026 version) describes the course overview, learning outcomes, and course details, but it does not specifically mention whether students need to give a presentation as part of this course requirements. The documentation mentions ""Hands-on experience using industry-standard project management tools"" and ""Working in teams under staff supervision,"" but there is no explicit statement about presentation requirements in the provided text.",I don't have the answer.
Run 7,"Based on the provided documentation for the Project Management subject (INFO3019), there is no explicit mention of a presentation requirement. The documentation shows a ""Practical"" assessment component with a 40% weight, but it does not specify whether this practical includes a presentation or any other presentation-based assessment. 

The documentation does not list any presentation components as part of the assessment requirements for this subject. Therefore, based on the information provided, you do not need to give a presentation in Project Management.",I don't have the answer.,I don't have the answer.,I don't have the answer.,"I don't have the answer.

The provided documentation describes the INFO3019 - Project Management subject but does not specifically mention whether presentations are required as part of this subject. The documentation mentions ""Working in teams under staff supervision, students develop practical skills to work as assistant project managers or project team members"" but doesn't explicitly state presentation requirements. The only mention of presentations in the documentation is in a different subject (Data Science) section, which is not relevant to the Project Management subject being asked about.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't have the answer.,I don't have the answer.,I don't have the answer.
Run 8,"Based on the documentation provided, I cannot determine whether a presentation is required for Project Management (INFO3019). The documentation shows that this subject has a ""Practical"" assessment component with 100% weight, but it does not explicitly mention a presentation requirement.

The assessment section for INFO3019 shows only a ""Practical"" component with 100% weight, which suggests that the primary assessment for this course is practical work rather than a presentation. However, without explicit information in the documentation about presentations, I cannot confirm whether a presentation is part of the requirements.

In many university courses, presentations are common assessment components, but since the documentation does not specify this for Project Management (INFO3019), I would recommend checking with your instructor or the course syllabus for the most accurate information.","Yes, according to the provided documentation, you need to give a presentation in Project Management. The documentation states that one of the learning outcomes for INFO3019 - Project Management is: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports."" This indicates that presenting project plans and reports is a requirement for the subject.",I don't have the answer.,I don't have the answer.,"I don't have the answer.

The provided documentation describes INFO3019 - Project Management as a subject that provides students with fundamental project management skills, but it does not explicitly state whether students need to give a presentation in this subject. The documentation mentions ""apply leadership, communication, and stakeholder engagement strategies"" as part of learning outcomes, but it doesn't specifically mention presentation requirements. The documentation does contain a section about a different subject (data science) that requires ""present a project and its results to an audience in an oral presentation,"" but this is not relevant to the Project Management subject in question.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, according to the provided documentation, students need to ""present comprehensive project plans and reports"" as part of the subject requirements. This is explicitly stated in the learning outcomes section (point 6), which describes the skills students will develop through hands-on experience with industry-standard project management tools. The documentation indicates that this presentation component is integral to the course, though it does not specify whether the presentation is oral or written. Given the context, students must present their work in some form as part of the requirements.",I don't have the answer.,I don't have the answer.
Run 9,"After carefully reviewing the documentation for the Project Management subject (INFO3019), I don't see any specific mention of a presentation assessment.

The assessments section for INFO3019 shows only one assessment item:
- Practical (Weighting: 100%, Individual, Mandatory: No)

There's no mention of a presentation requirement in the documentation. While the subject does have a learning outcome about communication (""Communicate project progress and issues effectively"" - SLO4), the documentation doesn't indicate that this requires a separate presentation assessment.

The only assessment listed for this subject is a Practical worth 100% of the grade.

Therefore, based on the provided documentation, **no**, you do not need to give a presentation in Project Management (INFO3019).","I don't have the answer. 

The documentation provided describes INFO3019 - Project Management (2026 version) but does not explicitly state whether students need to give a presentation in this subject. The documentation mentions ""Working in teams under staff supervision, students develop practical skills to work as assistant project managers or project team members"" but does not specify a presentation requirement. The only mention of presentations in the documentation appears to be for a different subject (Data Science), not for Project Management.","I don't have the answer.

The documentation provided describes INFO3019 - Project Management course details, including learning outcomes and assessments. While it mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports"" as one of the learning outcomes (SLO6), it does not explicitly state whether students need to give a formal presentation as part of the course requirements. The assessments section lists Practical (40%), Case Study (20%), and Proposal (40%) components, but doesn't specifically mention a presentation requirement.",I don't have the answer.,"I don't have the answer. 

The documentation provided describes INFO3019 - Project Management subject but does not explicitly state whether a presentation is required for this subject. While the documentation mentions ""Working in teams under staff supervision, students develop practical skills to work as assistant project managers or project team members"" and ""Hands-on experience using industry-standard project management tools,"" it doesn't specify presentation requirements for this subject.

The documentation does mention a presentation requirement in a different subject (Data Science), but that's not relevant to the Project Management subject being asked about.","No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't have the answer.,"I don't have the answer. 

The documentation provided for INFO3019 - Project Management doesn't explicitly state whether presentations are required for this subject. While it mentions ""hands-on experience"" and ""working in teams under staff supervision"" and includes learning outcomes about ""communication"" and ""stakeholder engagement,"" it doesn't specifically address presentation requirements for this course.","I don't have the answer.

The documentation shows that COMP1005 (Programming Fundamentals) is offered at the Sydney City campus for both Term 2 and Term 3, but it doesn't explicitly state which subjects are available at the city campus instead of other campuses. The documentation mentions that Surabaya students must complete COMP1005 as a core subject, indicating this subject is available at multiple campuses. The documentation also states that ""Electives can be any subject offered by the University,"" but it doesn't specify which electives are exclusive to the city campus or which subjects students at other campuses would typically take but can take at the city campus instead.

Without specific information about which subjects are exclusively available at the city campus versus other campuses, I cannot provide a complete answer to this question."
Run 10,"After carefully reviewing the provided documentation for the Project Management subject (INFO3019), I cannot find any specific mention of a presentation requirement in the assessments section. The subject's assessments are clearly listed as:

- Practical (20%)
- Final Exam (50%)
- Case Study (15%)
- Applied Project (15%)

None of these assessments are explicitly titled as a ""presentation"" or include a presentation component. While the subject description mentions ""group work and tutorial practicals,"" it does not specify that presentations are a formal requirement.

Therefore, **no**, based on the documentation provided, you do not need to give a presentation in Project Management (INFO3019).",I don't have the answer.,"I don't have the answer. 

The documentation shows that INFO3019 has three assessments: Practical (40%), Case Study (20%), and Proposal (40%). While learning outcome 6 mentions ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports,"" the documentation doesn't explicitly state whether students need to give a presentation as a specific assessment requirement in this subject. The assessments listed don't include a presentation component.",I don't have the answer.,I don't have the answer.,"No, it only states that the proposal is one of the assignments, but it does not mention the presentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't have the answer.,"After reviewing the provided documentation for INFO3019 - Project Management (2026 version), I found that learning outcome 6 states: ""Utilize project management tools and techniques to develop and present comprehensive project plans and reports.""

This indicates that students are required to present project plans and reports as part of the subject requirements. The documentation specifically mentions ""present"" in this context, meaning students would need to give a presentation component as part of their project work.

Therefore, yes, you need to give a presentation in Project Management.",I don't have the answer.
